device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,price_drop_percent
Honor,Android,14.5,yes,no,13.0,5.0,64.0,3,3020,146,2020,127,4.307572449,4.715100245,8.643035668905489
Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8,4300,213,2020,325,5.162096647,5.519017936,6.467115945969989
Honor,Android,16.69,yes,yes,13.0,8.0,128.0,8,4200,213,2020,162,5.111083765,5.884630724,13.145208175003233
Honor,Android,25.5,yes,yes,13.0,8.0,64.0,6,7250,480,2020,345,5.135386588,5.630960854,8.800882812885549
Honor,Android,15.32,yes,no,13.0,8.0,64.0,3,5000,185,2020,293,4.389994804,4.947837479,11.274474502601194
Honor,Android,16.23,yes,no,13.0,8.0,64.0,4,4000,176,2020,223,4.413888608,5.060694494,12.78097080878639
Honor,Android,13.84,yes,no,8.0,5.0,32.0,2,3020,144,2020,234,3.878259375,4.518958489,14.178026099588722
Honor,Android,15.77,yes,no,13.0,8.0,64.0,4,3400,164,2020,219,4.729421148,5.18872569,8.85197193764159
Honor,Android,15.32,yes,no,13.0,16.0,128.0,6,4000,165,2020,161,4.886054204,5.299916088,7.808838425518863
Honor,Android,16.23,yes,no,13.0,8.0,128.0,6,4000,176,2020,327,4.773223771,5.073610093,5.920563789764609
Honor,Android,15.47,yes,no,13.0,8.0,64.0,3,3020,150,2020,268,4.26703657,4.713665782,9.47519897794908
Honor,Android,15.32,yes,no,13.0,8.0,64.0,4,5000,185,2020,344,4.657383057,4.770176021,2.364545113292382
Honor,Android,16.69,yes,yes,13.0,16.0,128.0,8,4100,206,2019,537,5.383255763,6.213967894,13.368465128410262
Honor,Android,15.32,yes,no,13.0,16.0,64.0,4,4000,171,2019,336,4.617592706,5.398750764,14.469237276314464
Honor,Android,14.5,yes,no,13.0,5.0,32.0,2,3020,146,2019,230,4.111365547,4.487512143,8.382074165230842
Honor,Android,16.23,yes,no,13.0,8.0,64.0,4,4000,176,2019,248,4.411221293,4.866225902,9.350256608781669
Honor,Android,15.9,yes,no,13.0,32.0,128.0,6,3750,172,2019,395,5.022366217,5.517934708,8.98105028828116
Honor,Android,16.74,yes,no,13.0,16.0,64.0,4,4000,206,2019,421,4.777020443,5.193179048,8.013561657579894
Honor,Android,14.5,yes,no,13.0,5.0,32.0,2,3020,146,2019,532,4.248638089,4.792313433,11.344736766511081
Honor,Android,25.43,yes,no,5.0,2.0,32.0,3,5100,173,2019,266,4.267877613,5.517051209,22.642051862092845
Honor,Android,20.32,yes,no,8.0,8.0,32.0,3,5100,173,2019,321,4.556295018,5.304001183,14.097021082809958
Others,Android,20.32,no,no,8.0,0.3,16.0,1,5680,453,2013,933,4.45213555,5.48438191,18.82156233718595
HTC,Android,15.29,yes,no,13.0,16.0,32.0,3,3850,170,2019,187,4.560800238,5.195730778,12.220235557401317
HTC,Android,12.88,yes,no,13.0,13.0,64.0,4,3075,150,2019,499,4.595624773,5.39771011,14.859733491689871
HTC,Android,15.29,yes,no,13.0,8.0,32.0,3,3300,160,2019,497,4.426521875,5.006091654,11.577290610268957
HTC,Android,15.24,yes,no,13.0,14.5,128.0,6,3930,180,2019,202,5.213467289,6.039968956,13.68387276525599
HTC,Android,15.29,yes,no,13.0,16.0,64.0,4,3850,170,2019,493,4.636668853,5.631426812,17.664403573180987
Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,6,4000,192,2020,91,4.905496976,5.520380334,11.13842381860786
Huawei,Android,15.37,yes,yes,10.5,16.0,64.0,6,4000,182,2020,299,4.820442843,5.39603374,10.666925462923434
Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4,4000,163,2020,354,4.577901759,5.558024257,17.634368845468664
Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4,4000,163,2020,306,4.872828107,5.478970866,11.063076877474309
Huawei,Android,20.32,yes,no,5.0,2.0,16.0,2,5100,310,2020,231,4.170533701,4.598246271,9.301645557730932
Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,8,4000,189,2020,205,4.709440107,5.765661212,18.319166981259677
Huawei,Android,25.5,yes,no,8.0,8.0,64.0,4,7250,450,2020,211,5.133088887,5.51877732,6.988657281066008
Huawei,Android,16.71,yes,yes,10.5,16.0,256.0,8,4200,226,2020,120,6.153455837,7.244220373,15.057031396579243
Huawei,Android,16.23,yes,no,10.5,8.0,64.0,4,4000,176,2020,161,4.644390899,5.0681492,8.361204145292318
Huawei,Android,25.6,yes,yes,13.0,8.0,128.0,6,7250,460,2020,139,5.18245748,6.310336373,17.873514600994156
Huawei,Android,16.23,yes,no,10.5,8.0,64.0,4,4000,176,2020,93,4.322143925,4.95342982,12.74441988561373
Huawei,Android,16.74,yes,no,13.0,16.0,128.0,6,4000,206,2019,460,5.065439086,5.672429397,10.700711609050998
Huawei,Android,15.34,yes,no,13.0,16.0,128.0,8,4200,183,2019,223,4.931375613,5.634110801,12.472867730525843
Huawei,Android,25.6,yes,no,13.0,8.0,128.0,6,7250,460,2019,256,4.997685135,6.107267847,18.168233976262346
Huawei,Android,15.9,yes,no,13.0,32.0,64.0,6,4000,178,2019,206,4.99653637,5.294560318,5.628870578484172
Huawei,Android,15.32,yes,no,13.0,16.0,64.0,6,4000,163,2019,488,4.537426534,5.306731865,14.496781645853893
Huawei,Android,16.23,yes,no,13.0,8.0,64.0,4,4000,176,2019,516,4.705286977,5.010968572,6.1002496944018
Huawei,Android,16.59,yes,yes,13.0,16.0,512.0,12,4500,198,2019,289,5.674182005,7.438006989,23.71367742203664
Huawei,Android,16.81,yes,yes,13.0,16.0,128.0,6,4200,196,2019,477,5.380450196,6.477264628,16.93329661503526
Huawei,Android,16.81,yes,no,13.0,16.0,128.0,6,4200,196,2019,195,5.014826499,6.313729189,20.572670304944246
Huawei,Android,15.9,yes,no,13.0,32.0,128.0,6,4000,178,2019,244,5.143474781,5.67029463,9.290872580284242
Huawei,Android,16.74,yes,no,13.0,16.0,128.0,4,4000,163,2019,376,4.839293241,5.250281918,7.827935402687071
Huawei,Android,25.6,yes,no,13.0,8.0,64.0,4,7500,498,2019,205,4.936629881,5.704781975,13.465056111982271
Huawei,Android,20.42,yes,no,13.0,8.0,128.0,6,6100,340,2019,406,5.294259143,5.856932654,9.60696569757759
Huawei,Android,20.42,yes,no,13.0,8.0,64.0,4,6100,320,2019,462,5.001190835,5.556287375,9.990421706724629
Huawei,Android,16.23,yes,no,13.0,32.0,128.0,8,3500,171,2019,333,5.428204627,5.9652489,9.002881220932782
Huawei,Android,16.23,yes,no,13.0,32.0,128.0,8,3500,171,2019,284,5.378560054,5.885520528,8.613689674314557
Huawei,Android,15.34,yes,no,13.0,24.0,128.0,6,4000,178,2019,202,5.058853866,5.562948291,9.061641392848244
Huawei,Android,15.34,yes,no,13.0,16.0,64.0,4,4000,178,2019,445,5.043683148,5.637785112,10.537861096114796
Huawei,Android,16.74,yes,no,13.0,16.0,64.0,4,4000,196,2019,375,4.607467545,5.638105528,18.279863295953536
Huawei,Android,10.16,no,no,5.0,2.0,16.0,4,1700,136,2014,666,3.579343567,4.70311326,23.894166074154892
Huawei,Android,17.78,no,no,3.15,0.3,8.0,1,4100,350,2013,819,3.982295058,5.016551095,20.616874370737364
Infinix,Android,17.32,yes,no,,8.0,32.0,2,6000,209,2020,245,4.282068168,4.59764192,6.863817528442922
Infinix,Android,15.39,yes,no,,8.0,64.0,4,5000,185,2020,173,4.363608049,4.711779921,7.389391648965346
Infinix,Android,15.39,yes,no,,8.0,32.0,2,5000,185,2020,256,4.181439269,4.505460342,7.191741762311575
Infinix,Android,15.39,yes,no,,16.0,32.0,3,4000,178,2019,316,4.555244377,4.602165677,1.019548258214524
Infinix,Android,15.29,yes,no,,16.0,32.0,2,4000,165,2019,468,4.416669578,4.871296595,9.332772253420961
Lava,Android,14.5,yes,no,,5.0,32.0,2,3200,150,2020,356,3.989909544,4.381026134,8.927510999412808
Lava,Android,12.7,no,no,5.0,0.3,8.0,0,3000,147,2016,819,3.495598057,4.113002744,15.011044860124704
Lenovo,Android,25.43,yes,no,8.0,5.0,32.0,3,7000,520,2020,233,4.726768158,5.20136584,9.124481849559741
Lenovo,Android,25.43,no,no,8.0,5.0,64.0,4,7000,580,2019,419,5.214881408,5.775141434,9.701234721310549
Lenovo,Android,15.47,yes,no,8.0,5.0,16.0,2,4000,172,2019,267,3.940610462,4.591071262,14.167952594938393
Lenovo,Android,20.32,yes,no,13.0,5.0,16.0,2,5100,305,2019,461,4.779375562,5.066133071,5.660283790046542
Lenovo,Android,20.32,yes,no,5.0,2.0,16.0,2,5000,305,2019,423,4.463721822,4.938064601,9.605843935373814
Lenovo,Android,17.78,yes,no,2.0,2.0,32.0,1,3590,236,2019,528,3.896096855,4.606768907,15.426692033979208
Lenovo,Android,16.23,yes,no,8.0,16.0,64.0,6,4000,159,2019,254,4.423648309,5.524974737,19.933601155215566
Lenovo,Android,16.23,yes,yes,8.0,32.0,128.0,6,4000,185,2019,370,5.342812606,5.992264227,10.838167283640377
Lenovo,Android,15.32,yes,no,8.0,16.0,64.0,4,4050,164,2019,482,4.676839473,5.062468443,7.617409853353626
Lenovo,Android,25.43,yes,no,8.0,8.0,16.0,2,8400,655,2016,691,5.056182109,5.191233144,2.601521281241073
LG,Android,16.59,yes,no,5.0,16.0,64.0,4,4000,196,2020,273,4.879082894,5.601491318,12.896715945601688
LG,Android,15.44,yes,no,5.0,13.0,64.0,3,4000,219,2020,349,4.350148896,5.299466706,17.913459271763926
LG,Others,5.28,yes,no,2.0,13.0,8.0,1,1470,127,2020,343,3.875566468,5.015689168,22.731127504350958
LG,Android,15.44,yes,yes,5.0,10.0,128.0,8,5000,218,2020,352,4.734442522,6.768240306,30.049136733473418
LG,Android,15.44,yes,yes,5.0,10.0,128.0,8,5000,213,2020,142,5.476463552,6.55079458,16.400010943405274
LG,Android,15.37,yes,no,5.0,13.0,32.0,3,4000,196,2020,92,4.636959508,5.481430277,15.406029563914855
LG,Android,14.5,yes,no,8.0,8.0,32.0,3,3450,170,2020,166,4.230767603,4.870683334,13.138109934863596
LG,Android,25.43,yes,no,8.0,5.0,32.0,4,8200,498,2019,329,4.709620287,5.82953368,19.21102877992121
LG,Android,15.34,yes,yes,8.0,32.0,256.0,8,4000,192,2019,383,5.467680322,7.003174544,21.92568830539204
LG,Android,15.34,yes,no,8.0,16.0,64.0,4,4000,198,2019,443,4.696928611,5.766225051,18.544132956006617
LG,Android,13.84,yes,no,8.0,5.0,16.0,2,3000,148,2019,257,4.255328982,4.944353031,13.935575487429233
LG,Android,13.84,yes,no,8.0,5.0,16.0,1,3000,152,2019,380,4.08933202,4.606369467,11.224402443270206
LG,Android,15.27,yes,no,8.0,13.0,32.0,2,3500,186,2019,255,4.64352514,5.082211493,8.63180042003812
LG,Android,15.37,yes,no,8.0,13.0,32.0,3,4000,194,2019,512,4.550608398,5.304299438,14.209059062551372
LG,Android,15.8,yes,no,8.0,16.0,64.0,4,4050,172,2019,223,4.461877016,5.248023572,14.979859469274507
LG,Android,15.9,yes,no,8.0,16.0,32.0,3,4000,175,2019,200,4.582310892,4.864607093,5.803062726406305
LG,Android,15.72,yes,no,8.0,8.0,32.0,3,4000,164,2019,210,4.373994463,4.694645192,6.830137654415534
LG,Android,15.29,yes,no,13.0,5.0,32.0,3,3500,179,2019,216,4.517649588,5.300415165,14.768005007773766
LG,Android,15.29,yes,no,16.0,5.0,64.0,4,3300,172,2018,724,4.887940214,5.704049106,14.307536222672903
LG,Android,12.83,yes,no,13.0,5.0,16.0,2,4500,171,2018,628,4.358630057,5.191066176,16.03593733496646
LG,Android,7.62,no,no,2.0,1.3,4.0,0,1540,140,2014,750,3.027715319,3.925925911,22.878949128492614
Meizu,Android,15.39,yes,yes,,20.0,128.0,8,4500,199,2020,186,5.167866937,6.272027589,17.604524794127144
Meizu,Android,15.37,yes,no,,16.0,128.0,6,4500,183,2019,449,4.665512415,5.526329049,15.576644574860527
Meizu,Android,15.37,yes,no,,8.0,32.0,2,4000,184,2019,190,4.290185431,5.195176608,17.41983469063232
Meizu,Android,15.29,yes,no,,20.0,128.0,6,3600,166,2019,459,4.721084811,5.830679408,19.030279652789307
Meizu,Android,15.29,yes,no,,16.0,64.0,6,4000,165,2019,517,4.842295535,5.388660686,10.139164123276176
Meizu,Android,15.29,yes,no,,20.0,128.0,6,3600,165,2019,332,4.959412173,6.040659391,17.89948990686273
Micromax,Android,10.16,no,no,2.0,0.3,0.5,0,1500,146,2014,1016,3.043569603,3.926714554,22.49068372185019
Micromax,Android,7.75,no,no,0.3,0.3,0.5,0,1500,89,2014,956,2.386926241,3.664842876,34.86961592183687
Micromax,Android,10.03,no,no,2.0,0.3,0.2,0,2000,85,2013,680,2.856470206,4.244630641,32.70391589768481
Micromax,Android,10.16,no,no,2.0,0.3,16.0,4,2000,89,2013,733,3.108614431,4.094844437,24.084675771530414
Micromax,Android,7.75,no,no,0.3,0.3,16.0,4,2000,89,2013,1029,2.989714201,3.884240624,23.029634607930507
Motorola,Android,15.37,yes,no,,16.0,128.0,6,5000,210,2020,242,4.829672813,5.704848573,15.340911310811045
Motorola,Android,15.42,yes,yes,,25.0,256.0,12,5000,203,2020,220,5.186882886,7.090784918,26.850370643268747
Nokia,Android,16.56,yes,no,0.3,8.0,64.0,3,4000,200,2020,310,4.186011751,5.004885462,16.361487534876982
Nokia,Android,13.84,yes,no,0.3,5.0,16.0,2,3000,180,2020,193,3.616308761,4.100160948,11.800809605681852
Nokia,Android,13.84,yes,no,0.3,5.0,16.0,2,3000,180,2020,356,4.055430469,4.591983624,11.684561595466178
Nokia,Others,5.18,no,no,0.3,0.0,0.1,0,1020,90,2020,272,2.910174385,3.399863159,14.403190690299198
Nokia,Others,5.18,no,no,0.3,0.0,0.06,0,1020,91,2020,288,2.729159164,2.911263117,6.255152683954397
Nokia,Android,17.3,yes,yes,0.3,24.0,64.0,6,4500,220,2020,284,5.314043067,6.216845593,14.521874678961488
Nokia,Others,5.18,no,no,0.3,0.0,0.06,0,1200,88,2020,266,3.370738174,3.699077279,8.876243458443302
Nokia,Others,5.18,yes,no,0.3,0.0,,0,1200,86,2019,234,2.721295428,3.688379329,26.21975167782424
OnePlus,Android,16.64,yes,yes,,16.0,128.0,8,4300,180,2020,110,5.620944196,6.609308811,14.95412974735037
OnePlus,Android,16.64,yes,yes,,16.0,128.0,8,4300,180,2020,208,5.288166015,6.474106722,18.318213738584095
OnePlus,Android,16.94,yes,yes,,16.0,256.0,12,4085,206,2019,458,5.713402718,6.686160528,14.548825232752474
OnePlus,Android,16.94,yes,yes,,16.0,128.0,6,4000,206,2019,294,5.670983763,6.686647155,15.18942705449216
Oppo,Android,16.64,yes,yes,,32.0,128.0,8,4000,172,2020,187,5.170881643,6.153455837,15.967843436722134
Oppo,Android,16.33,yes,yes,,32.0,128.0,8,4000,183,2020,271,5.009634794,5.910254492,15.238255801320575
Oppo,Android,16.69,yes,yes,,32.0,128.0,6,4000,184,2020,100,5.033895988,5.672842052,11.263244386907175
Oppo,Android,16.64,yes,yes,,16.0,128.0,8,4000,186,2020,186,5.116615618,6.253482598,18.179741642898225
Oppo,Android,15.29,yes,no,,8.0,64.0,3,4230,168,2020,273,4.578312732,4.782479201,4.269050850389688
Oppo,Android,15.34,yes,yes,,32.0,128.0,8,4025,180,2020,146,5.412315471,5.98838481,9.619778242006461
Oppo,Android,15.34,yes,yes,8.0,32.0,128.0,8,4025,181,2019,397,4.868380247,6.088023946,20.033490502305582
Oppo,Android,15.37,yes,no,8.0,8.0,128.0,4,4230,180,2019,411,4.57037168,5.01588814,8.882105173900474
Oppo,Android,15.34,yes,no,8.0,25.0,128.0,6,3600,169,2019,276,4.936199063,5.632572862,12.363334058189762
Oppo,Android,15.34,yes,no,8.0,32.0,128.0,4,4035,186,2019,205,4.94178527,5.800667172,14.80660545645249
Oppo,Android,16.59,yes,no,8.0,16.0,128.0,6,4020,190,2019,321,4.656718448,5.556287375,16.19010800354796
Oppo,Android,15.39,yes,yes,8.0,16.0,256.0,8,4065,215,2019,392,5.295613715,6.780830585,21.903170288393223
Oppo,Android,15.27,yes,no,8.0,5.0,32.0,2,4000,170,2019,296,4.322011202,4.605670061,6.1589053328412104
Oppo,Android,15.29,yes,no,13.0,8.0,32.0,3,4230,168,2018,664,4.457713717,5.437252881,18.015332106823895
Oppo,Android,10.29,yes,no,8.0,5.0,8.0,1,2000,135,2015,1076,4.02463715,5.009968405,19.66741454929395
Others,Android,16.43,yes,yes,8.0,20.0,128.0,6,4000,171,2019,317,5.570212986,6.803360963,18.125570342459582
Realme,Android,15.37,yes,no,,16.0,64.0,4,4300,191,2020,289,4.702659807,5.302060353,11.3050494730949
Realme,Android,15.37,yes,no,,16.0,128.0,4,5000,199,2020,338,4.941570991,5.0141624,1.4477275207520235
Realme,Android,15.37,yes,no,,5.0,32.0,3,5000,195,2020,111,4.498364182,4.606569207,2.348928674198019
Realme,Android,15.27,yes,no,,5.0,32.0,3,4000,166,2020,167,2.896464272,3.690877457,21.523694412919117
Realme,Android,15.27,yes,no,,5.0,32.0,2,4000,166,2019,399,4.288677032,4.611351045,6.9973855785685535
Samsung,Android,20.32,yes,no,5.0,2.0,16.0,1,4200,313,2015,909,4.32611744,5.348202169,19.110809515099323
Others,Android,15.34,yes,no,2.0,8.0,256.0,8,3130,141,2020,135,4.915665057,6.508292123,24.47073726718152
Others,Android,12.93,yes,no,8.0,8.0,64.0,4,3090,173,2019,523,4.180522258,5.34563025,21.79552152900961
Others,Android,16.59,yes,yes,2.0,16.0,128.0,6,4500,210,2020,234,5.020849617,5.985371019,16.11464684374982
Others,Android,16.59,yes,no,8.0,24.0,128.0,6,3820,192,2019,414,5.036303041,5.802239214,13.200699673875944
Others,Android,17.78,yes,no,2.0,16.0,64.0,4,6000,220,2020,135,4.378896742,4.80557721,8.878859902866898
Others,Android,15.39,yes,no,2.0,8.0,32.0,2,5000,206,2020,153,4.084294226,4.791151704,14.753393790680104
Others,Android,15.39,yes,no,2.0,16.0,128.0,6,4000,203,2020,125,4.919469846,5.393172898,8.783383380415412
Others,Android,12.83,yes,no,2.0,5.0,16.0,2,2700,153,2020,123,3.629394807,4.246493239,14.531953714950918
